order_id,order_date,customer_id,product_category,quantity,unit_price,order_status,payment_method
1001,2023-01-05,C001,Electronics,1,45000,DELIVERED,CARD
1002,2023-01-06,C002,Clothing,3,1500,DELIVERED,UPI
1003,2023-01-06,C003,Electronics,2,32000,CANCELLED,CARD
1004,2023-01-07,C001,Home,1,7000,DELIVERED,
1005,2023-01-08,C004,Clothing,,1200,DELIVERED,UPI
1006,2023-01-08,C005,Books,4,500,PENDING,COD
1007,2023-01-09,C006,Electronics,1,55000,DELIVERED,CARD
1008,2023-01-09,C002,Clothing,2,1800,DELIVERED,UPI
1009,2023-01-10,C007,Toys,1,900,DELIVERED,CARD
1010,2023-01-10,,Electronics,1,48000,DELIVERED,CARD
